0.212364,-0.096955
0.942612,-0.108305
1.675138,-0.082437
2.407423,-0.055528
3.139774,-0.029073
3.848769,-0.004066
3.882325,-0.002841
3.915599,-0.001973
3.948844,-0.001210
3.972410,0.292197
3.985285,1.024456
3.990646,1.757327
3.995191,2.490007
3.998705,3.222757
4.005388,3.896822
4.007633,3.940727
3.930917,3.970313
3.210934,3.983996
2.478367,3.989321
1.745695,3.993932
1.012669,3.997717
0.279717,4.000136
0.089499,4.018734
0.057390,4.012728
0.036857,3.923596
0.054396,3.195874
0.041458,2.463044
0.027675,1.730493
0.014534,0.997943
0.002684,0.265174
0.001190,0.131463
0.000875,0.097812
0.000566,0.064937
0.000271,0.031888
